,heure,type,nb_pl,cam_num,cam_nom
0,0,PL en transit,188.78519455868394,"3,4",Rocade Est
1,0,Vehicules Legers,623.0,"3,4",Rocade Est
2,0,PL locaux,161.21480544131606,"3,4",Rocade Est
3,1,PL en transit,217.66491336633663,"3,4",Rocade Est
4,1,Vehicules Legers,456.0,"3,4",Rocade Est
5,1,PL locaux,125.33508663366337,"3,4",Rocade Est
6,2,PL en transit,186.2309148264984,"3,4",Rocade Est
7,2,Vehicules Legers,344.0,"3,4",Rocade Est
8,2,PL locaux,149.7690851735016,"3,4",Rocade Est
9,3,PL en transit,186.36418632788872,"3,4",Rocade Est
10,3,Vehicules Legers,403.0,"3,4",Rocade Est
11,3,PL locaux,178.63581367211128,"3,4",Rocade Est
12,4,PL en transit,215.49723091740907,"3,4",Rocade Est
13,4,Vehicules Legers,680.0,"3,4",Rocade Est
14,4,PL locaux,236.50276908259093,"3,4",Rocade Est
15,5,PL en transit,325.04870277651344,"3,4",Rocade Est
16,5,Vehicules Legers,1273.0,"3,4",Rocade Est
17,5,PL locaux,391.95129722348656,"3,4",Rocade Est
18,6,PL en transit,443.5994755817765,"3,4",Rocade Est
19,6,Vehicules Legers,4195.0,"3,4",Rocade Est
20,6,PL locaux,603.4005244182235,"3,4",Rocade Est
21,7,PL en transit,300.87263634942957,"3,4",Rocade Est
22,7,Vehicules Legers,6293.0,"3,4",Rocade Est
23,7,PL locaux,481.12736365057043,"3,4",Rocade Est
24,8,PL en transit,306.42229175979736,"3,4",Rocade Est
25,8,Vehicules Legers,5578.0,"3,4",Rocade Est
26,8,PL locaux,469.57770824020264,"3,4",Rocade Est
27,9,PL en transit,514.9168162776781,"3,4",Rocade Est
28,9,Vehicules Legers,4880.0,"3,4",Rocade Est
29,9,PL locaux,633.0831837223219,"3,4",Rocade Est
30,10,PL en transit,586.2001947577701,"3,4",Rocade Est
31,10,Vehicules Legers,5006.0,"3,4",Rocade Est
32,10,PL locaux,730.7998052422299,"3,4",Rocade Est
33,11,PL en transit,612.2927226647357,"3,4",Rocade Est
34,11,Vehicules Legers,5414.0,"3,4",Rocade Est
35,11,PL locaux,716.7072773352643,"3,4",Rocade Est
36,12,PL en transit,612.4552829635421,"3,4",Rocade Est
37,12,Vehicules Legers,5588.0,"3,4",Rocade Est
